Hotel Names ,Hotel link 
"
				AC Marriott			",
"
				Adolphus Hotel			",
"
				Aloft			",
"
				Belmont Hotel			",
"
				Cambria Hotel			",
"
				Canopy by Hilton			",
"
				Courtyard by Marriott			",
"
				Crowne Plaza Dallas			",
"
				Dallas Marriott Downtown			",
"
				Element by Westin			",
"
				Fairfield Inn			",
"
				Fairmont Hotel			",
"
				Hall Arts Hotel			",
"
				Hampton Inn & Suites Dallas Downtown			",
"
				Hilton Garden Inn Downtown Dallas			",
"
				Home 2 Suites by Hilton			",
"
				Homewood Suites			",
"
				Hotel Indigo			",
"
				Hotel Saint Germain			",
"
				Hotel ZaZa			",
"
				Hyatt Regency Dallas			",
"
				La Quinta (Hotel Lawrence)			",
"
				Lorenzo Hotel			",
"
				Magnolia Hotel			",
"
				Marriott Residence Inn			",
"
				Marriott Towne Place			",
"
				Nylo Dallas South Side			",
"
				Omni Dallas Convention Center Hotel			",
"
				The Pittman Hotel			",
"
				Ritz Carlton			",
"
				Rosewood Crescent Hotel			",
"
				Sheraton Dallas			",
"
				Springhill Suites			",
"
				The Guild Hotel Downtown 			",
"
				The Guild Hotel 			",
"
				The Joule			",
"
				The Statler			",
"
				The Stoneleigh			",
"
				Thompson Dallas			",
"
				TownePlace Suites			",
"
				W Dallas - Victory			",
"
				Westin Dallas Downtown			",
